x,y,class_name
-25,-1,0
-24.5,-1,0
-24,-1,0
-23.5,-1,0
-23,-1,0
-22.5,-1,0
-22,-1,0
-21.5,-1,0
-21,-1,0
-20.5,-1,0
-20,-1,0
-19.5,-1,0
-18,-1,0
-17.5,-1,0
-17,-1,0
-16.5,-1,0
-16,-1,0
-15.5,-1,0
-15,-1,0
-14.5,-1,0
-14,-1,0
-13.5,-1,0
-13,-1,0
-12.5,-1,0
-10.5,-0.999999998,0
-10,-0.999999996,0
-9.5,-0.999999989,0
-9,-0.99999997,0
-8.5,-0.999999917,1
-8,-0.999999775,2
-7.5,-0.999999388,1
-7,-0.999998337,2
-6.5,-0.999995479,1
-6,-0.999987712,2
-5.5,-0.999966597,1
-5,-0.999909204,2
-3,-0.995054754,2
-2.5,-0.986614298,1
-2,-0.96402758,2
-1.5,-0.905148254,1
-1,-0.761594156,2
-0.5,-0.462117157,1
0,0,2
0.5,0.462117157,1
1,0.761594156,2
1.5,0.905148254,1
2,0.96402758,2
2.5,0.986614298,1
3,0.995054754,2
3.5,0.998177898,1
4,0.9993293,2
4.5,0.999753211,1
5,0.999909204,2
5.5,0.999966597,1
7,0.999998337,2
7.5,0.999999388,1
8,0.999999775,2
8.5,0.999999917,1
9,0.99999997,2
9.5,0.999999989,1
10,0.999999996,0
10.5,0.999999998,0
11,0.999999999,0
11.5,1,0
12,1,0
12.5,1,0
13,1,0
13.5,1,0
14,1,0
14.5,1,0
15,1,0
15.5,1,0
16,1,0
16.5,1,0
17,1,0
20,1,0
20.5,1,0
21,1,0
21.5,1,0
22,1,0
22.5,1,0
23,1,0
23.5,1,0
24,1,0
24.5,1,0
25,1,0
