GSenergy_pa_composition_average,BulkModulus_difference,NUnfilled_composition_average,Density_min_value,valence_composition_average,HHIr_composition_average,IsAlkalineEarth_composition_average,Density_arithmetic_average,BCCvolume_padiff_composition_average,HHIp_composition_average,ElectronAffinity_composition_average,NfUnfilled_composition_average,IsRareEarth_composition_average,IsHexagonal_composition_average,ThermalConductivity_composition_average,ElectricalConductivity_composition_average,IonicRadii_composition_average,Polarizability_min_value,NValance_composition_average,ElasticModulus_composition_average,AtomicRadii_composition_average,BCCmagmom_composition_average,BCCfermi_composition_average,NfUnfilled_max_value,BCCenergy_pa_composition_average,name,Tc,group,ln(Tc)
-7.89272553025,84.0,6.35,2330.0,4.649999999999999,2800.0,0.0,3713.333333333333,-0.8304999999999999,3340.0,62.04,0.0,0.0,0.0,68.925,6.770060000000001,0.498,5.53,4.649999999999999,128.1,1.33175,0.0,7.104836029,0,-7.804765788999999,V3Si0.6Al0.4,10.1,low-Tc,2.312535423847214
-4.609881971242038,158.0,4.640056617126681,1.429,2.304600141542816,1377.565463552725,0.0,6231.685799999999,-0.9714260438782732,3203.297947629158,112.0816560509554,3.156404812455768,0.2830856334041048,0.2618542108987969,60.33989823071479,9.001104033970277,1.228934182590233,0.802,6.403113941967444,31.30474168435952,1.118320736022647,1.827804670912951e-05,3.40659346208351,13,-3.247479972281671,Pr1.85Ce0.15Cu0.998Ni0.002O4.065,15.89,cuprates,2.765689980548625
-4.36938790417673,118.0,2.805708013172338,1.429,2.458836443468716,1728.320526893524,0.1097694840834248,5415.404833333334,-1.465592755214051,2568.715697036224,86.75312843029639,0.2568605927552141,0.01975850713501646,0.09001097694840834,47.19236158068057,7.500329308452251,1.231130625686059,0.4,8.324917672886938,25.37958287596049,1.171350164654226,0.0,3.684570452996707,13,-3.054063478583974,Bi2Sr2Y1.64Ce0.36Cu2O10.22,20.0,cuprates,2.995732273553991
-3.812944660961539,131.7,1.692307692307692,1.429,2.115384615384615,1265.384615384615,0.1923076923076923,4947.571500000001,-1.200769230769231,1842.307692307692,73.03461538461538,0.2692307692307692,0.03846153846153846,0.0,87.38706153846154,13.87307692307692,1.213461538461538,0.802,7.153846153846153,28.30769230769231,1.191230769230769,0.0,3.284564303461538,7,-2.565474584615385,Pb0.5Sr2Ca0.5Eu0.5Cu2.5O7,60.0,cuprates,4.0943445622221
-4.211019129292308,160.4,2.004615384615385,1.429,2.083076923076923,1169.076923076923,0.1538461538461539,4955.485799999999,-0.9407846153846153,1855.076923076923,95.13184615384614,0.0,0.0,0.07692307692307693,96.34275384615384,14.50076923076923,1.218953846153846,0.802,6.303076923076924,35.70307692307692,1.168712307692308,0.003247173538461539,3.163367653430769,0,-2.955932083969231,Y1Ba2Cu2.98Fe0.02O7,90.7,Fe-based,4.507557357121091
-7.990930484155844,0.0,6.194805194805195,0.0899,4.571428571428571,4285.714285714285,0.0,6320.363300000001,-0.2883116883116884,3246.753246753246,73.3194805194805,0.0,0.0,0.6753246753246753,63.44627272727272,8.96103896103896,0.802987012987013,0.666793,5.545454545454545,168.1818181818182,1.483961038961039,0.1202457467532467,5.221592632987013,0,-7.797207313376624,Zr2Rh1H0.08,11.1,low-Tc,2.406945108318288
-5.421876828990385,148.0,4.264423076923078,0.0899,3.783653846153846,2112.980769230769,0.0,3949.70378,-1.390024038461538,3723.557692307692,66.12067307692307,0.0,0.2403846153846154,0.3798076923076923,34.60585625,4.0625,0.9603846153846153,0.666793,7.225961538461538,72.11538461538461,1.230048076923077,0.5075643990384615,5.85365227153846,0,-4.798494987740384,La1Fe1As1H0.58O0.58,32.0,Fe-based,3.465735902799727
-6.774528941853333,332.0,4.527777777777778,2460.0,4.361111111111111,4702.777777777778,0.0,9118.75,-0.2823611111111111,3502.777777777777,69.5,0.0,0.1111111111111111,0.08333333333333333,81.53333333333333,10.54444444444667,0.5108333333333334,3.03,6.861111111111111,351.6944444444445,1.227777777777778,0.1646030666666667,8.28837527861111,0,-5.845664340555556,Lu0.75Th0.25Rh4B4,11.93,low-Tc,2.479056236109825
-3.795005724333333,199.0,2.322222222222222,1.429,2.777777777777778,2700.0,0.2222222222222222,6774.775571428571,-1.017888888888889,3682.222222222223,41.97444444444444,0.0,0.0,0.1111111111111111,136.4377111111111,21.43555555555556,1.026666666666667,0.4,11.45555555555556,60.95555555555555,1.566933333333334,0.0,4.461251097333333,0,-3.496737405666667,Bi1.6Pb0.4Sr2Cu2.9Mo0.1OY,107.0,cuprates,4.672828834461906
-7.496846667,5.0,6.0,2260.0,3.6,1540.0,0.0,4203.0,0.8049999999999999,4100.0,93.38,0.0,0.4,1.0,5.4,0.802,0.5599999999999999,1.67,3.6,24.2,1.2968,0.00032204,8.315631333999999,0,-4.841403061999999,C3La2,10.66,low-Tc,2.366498418737698
