GSenergy_pa_composition_average,BulkModulus_difference,NUnfilled_composition_average,valence_composition_average,IsAlkalineEarth_composition_average,ThermalConductivity_composition_average,ElectronAffinity_composition_average,Density_min_value,HHIr_composition_average,HHIp_composition_average,CovalentRadius_composition_average,NfUnfilled_composition_average,MiracleRadius_composition_average,SecondIonizationEnergy_composition_average,SecondIonizationEnergy_min_value,Polarizability_min_value,NValance_composition_average,BCCfermi_composition_average,ElectricalConductivity_composition_average,IonicRadii_composition_average,group,mat,Tc
-5.4601359363996,166.9,2.92,4.68,0.08,65.852,42.0432,856.0,3208.0,2724.0,141.96,0.0,141.44,18.52052,10.004,4.31,9.48,5.291937326000001,8.191999999999998,0.7467999999999999,Fe-based,Ba0.4K0.6Fe2As2,31.2
-4.160523240617236,130.4,2.190217391304348,2.097049689440994,0.1281055900621117,102.85259720496892,98.98121118012422,1.429,1190.9937888198758,1977.8726708074528,112.9332298136646,0.0,110.06366459627328,26.170016304347826,10.004,0.802,6.361024844720497,3.685240219953416,15.566381987577644,1.210170807453416,cuprates,Ca0.4Ba1.25La1.25Cu3O6.98,40.1
-4.546560917121429,152.0,3.501428571428572,2.2528571428571427,0.0414285714285714,58.30261428571428,102.36885714285714,1.429,1391.857142857143,3021.8571428571427,115.16571428571427,0.0,109.02714285714283,26.096524285714285,11.03,0.802,5.798571428571428,4.3671154845428575,8.975857142857143,1.2391714285714284,cuprates,La1.71Sr0.29Cu0.94Co0.06O4,33.0
-8.496939061500001,127.0,6.2875,4.7125,0.0,56.15625,98.8375,7310.0,7183.75,7171.25,157.975,0.0,146.6375,14.61535,14.32,7.06,7.7375,5.884944065125,7.008749999999999,0.6905,low-Tc,Nb3Sn0.85Tl0.15,18.2
-4.237486496539301,112.0,2.589519650655022,2.2292576419213974,0.0982532751091703,69.71143930131004,94.35873362445416,1.429,1292.5764192139736,2244.5414847161574,110.78165938864628,0.0,109.46943231441048,26.33707641921397,11.03,0.802,7.266375545851528,4.003412069213974,10.921397379912666,1.236244541484716,cuprates,Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,28.1
-4.0927866425,130.4,2.154320987654321,2.0848765432098766,0.1466049382716049,97.06567160493826,99.78055555555554,1.429,1216.0493827160494,1885.030864197531,114.58024691358024,0.8487654320987654,111.67746913580248,25.93345833333333,10.004,0.802,6.570987654320987,3.191233479552469,14.597222222222223,1.238503086419753,cuprates,Nd1.1Ba1.9Cu3O6.96,87.6
-4.172095114960664,130.4,1.865657710514034,2.0591372758183875,0.1408093872924861,112.50726048403229,98.44496299753315,1.429,1136.3290886059071,1704.3536235749048,111.52476831788783,0.0,109.50390026001732,26.29304473631575,10.004,0.802,6.592772851523435,3.236409007437829,16.973478231882122,1.1974651643442895,cuprates,Y0.887Ba1.962Ca0.15Cu4O8,91.8
-6.181662656396396,108.9,3.603603603603604,5.003003003003003,0.0990990990990991,8.740804804804805,97.4894894894895,1.251,1459.1591591591591,2159.159159159159,125.8108108108108,0.0,91.16816816816817,21.512708708708708,10.004,1.1,9.207207207207208,4.128601554864864,1.2984984984984984,1.4470270270270271,low-Tc,Ba0.33Hf1N1Cl1,20.2
-4.671017818218146,132.0,3.870022753128556,2.295079635949943,0.0,59.70145858930603,111.70473549488057,1.429,1388.4385665529007,3222.198521046644,115.56271331058022,0.0,107.82821387940842,26.146287542662115,11.059,0.802,5.836461888509671,4.603674506399318,8.970776450511947,1.235786405005688,cuprates,La2Cu0.975V0.025O4.032,40.0
-4.58884255833638,142.0,5.155393053016454,2.550274223034735,0.0,61.79285703839123,87.99707495429615,1.429,2063.071297989032,5585.740402193785,147.42961608775138,4.387568555758684,138.86288848263254,19.89140767824497,11.069,0.802,7.780621572212066,3.354363410073126,8.841681901279706,1.132559414990859,cuprates,Sm12Cu2.96Ni0.04O6.88,83.0
